,posx,a,b,c
281,260.002,450,460,26569
282,262.49,450,450,25438
283,262.652,450,450,25438
284,266.044,423,432,22779
285,266.125,423,432,22779
286,269.502,423,432,22779
287,269.643,460,414,20184
288,270.001,460,450,18455
289,270.001,450,441,18998
290,272.439,450,414,18160
291,272.596,450,414,18160
292,275.963,423,404,15566
293,276.059,423,404,15566
294,279.511,414,414,13956
295,279.587,414,414,13956
296,280.001,441,414,13689
297,280.001,441,441,13303
298,282.671,441,423,12834
299,282.762,441,423,12834
300,286.199,441,414,11178
301,286.29,441,414,11178
302,289.662,414,404,10736
303,289.743,414,404,10736
304,290.0,450,441,10552
305,290.0,441,395,10451
306,287.224,423,441,10662
307,287.022,423,441,10662
